"year","site","prcp_mm_Apr","prcp_mm_May","prcp_mm_Jun","prcp_mm_Jul","prcp_mm_Aug","prcp_mm_Sep","prcp_mm_Oct","prcp_mm_Nov","prcp_mm_Dec","prcp_mm_Mar","tmax_deg_c_mean_Apr","tmax_deg_c_mean_May","tmax_deg_c_mean_Jun","tmax_deg_c_mean_Jul","tmax_deg_c_mean_Aug","tmax_deg_c_mean_Sep","tmax_deg_c_mean_Oct","tmax_deg_c_mean_Nov","tmax_deg_c_mean_Dec","tmax_deg_c_mean_Mar","tmin_deg_c_mean_Apr","tmin_deg_c_mean_May","tmin_deg_c_mean_Jun","tmin_deg_c_mean_Jul","tmin_deg_c_mean_Aug","tmin_deg_c_mean_Sep","tmin_deg_c_mean_Oct","tmin_deg_c_mean_Nov","tmin_deg_c_mean_Dec","tmin_deg_c_mean_Mar","srad_w_m_2_mean_Apr","srad_w_m_2_mean_May","srad_w_m_2_mean_Jun","srad_w_m_2_mean_Jul","srad_w_m_2_mean_Aug","srad_w_m_2_mean_Sep","srad_w_m_2_mean_Oct","srad_w_m_2_mean_Nov","srad_w_m_2_mean_Dec","srad_w_m_2_mean_Mar","gdd_Apr","gdd_May","gdd_Jun","gdd_Jul","gdd_Aug","gdd_Sep","gdd_Oct","gdd_Nov","gdd_Dec","gdd_Mar"
2015,"DEH1",5.98,35.32,190.6,112.49,96.7,36.78,NA,NA,NA,NA,22.075,25.6941935483871,28.0196666666667,29.8422580645161,29.5506451612903,29.2992857142857,NA,NA,NA,NA,8.58,14.1048387096774,18.7703333333333,20.3745161290323,18.6574193548387,18.8942857142857,NA,NA,NA,NA,411.18,407.452258064516,340.616666666667,369.982903225806,378.768709677419,335.943571428571,NA,NA,NA,NA,12.075,313.165,391.73,457.165,429.26,190.1,NA,NA,NA,NA
2015,"GAH1",137.85,31.89,140.91,144.17,76.84,NA,NA,NA,NA,NA,25.7483333333333,30.4516129032258,32.6356666666667,33.6458064516129,32.6874769230769,NA,NA,NA,NA,NA,15.661,16.6377419354839,21.2106666666667,22.1609677419355,22.3126615384615,NA,NA,NA,NA,NA,346.834333333333,466.083548387097,359.472666666667,379.334193548387,367.026276923077,NA,NA,NA,NA,NA,319.885,401.955,467.195,498.13,411.965,NA,NA,NA,NA,NA
2015,"IAH1",NA,127.71,204.58,193.15,257.17,122.31,0,NA,NA,NA,NA,21.04,26.1946666666667,27.5935483870968,25.8825806451613,26.288,19.4430555555556,NA,NA,NA,NA,10.37,15.3706666666667,16.7803225806452,14.9745161290323,13.955,6.78201388888889,NA,NA,NA,NA,340.976666666667,369.735333333333,374.058064516129,364.252903225806,335.545,322.916597222222,NA,NA,NA,NA,196.145,321.055,372.17,324.075,308.09,41.6525,NA,NA,NA
2015,"IAH3",0,119.22,233.5,121.65,102.44,105.68,0,NA,NA,NA,19.39,21.2745161290323,25.8833333333333,27.4164516129032,25.8638709677419,26.32,17.27,NA,NA,NA,3.12,10.1448387096774,14.879,16.4403225806452,14.2709677419355,13.5683333333333,4.19,NA,NA,NA,479.55,335.175483870968,365.32,388.906451612903,377.672258064516,340.645,344.7,NA,NA,NA,4.695,207.305,311.59,364.965,313.75,304.95,3.635,NA,NA,NA
2015,"IAH4",NA,142.61,192.03,200.73,90.02,89.3,NA,NA,NA,NA,NA,22.5870967741935,26.9003333333333,28.3183870967742,27.1851612903226,27.725,NA,NA,NA,NA,NA,10.9332258064516,15.8706666666667,17.591935483871,15.3958064516129,14.8667857142857,NA,NA,NA,NA,NA,338.220322580645,361.327,379.172258064516,388.471612903226,342.010714285714,NA,NA,NA,NA,NA,235.29,339.975,394.21,347.38,313.5,NA,NA,NA,NA
2015,"ILH1",0,147.27,242.99,92.54,80,161.46,0,NA,NA,NA,15.66,24.6267741935484,27.042,28.0167741935484,27.7303225806452,27.5446666666667,19.305,NA,NA,NA,3.86,12.7883870967742,17.0313333333333,17.4654838709677,15.6774193548387,14.3016666666667,7.245,NA,NA,NA,422.15,362.229677419355,351.448,404.175806451613,398.26064516129,338.054,325.98,NA,NA,NA,2.83,284.985,358.605,389.69,360.605,321.295,9.305,NA,NA,NA
2015,"INH1",NA,60.01,241.09,164.84,39.72,72.8,2.38,NA,NA,NA,NA,24.03,26.513,27.5477419354839,27.3967741935484,26.888,20.5555714285714,NA,NA,NA,NA,12.3344444444444,16.1676666666667,16.7070967741935,15.0654838709677,13.6393333333333,7.88028571428571,NA,NA,NA,NA,365.859444444444,346.653333333333,404.032258064516,389.605806451613,349.571333333333,303.857476190476,NA,NA,NA,NA,157.485,339.535,373.13,346.705,307.105,78.7,NA,NA,NA
2015,"KSH1",20.45,268.51,141.53,150.35,90.72,65.46,NA,NA,NA,NA,19.15125,22.3790322580645,30.1276666666667,31.4048387096774,30.0274193548387,30.2452380952381,NA,NA,NA,NA,5.96125,11.2722580645161,18.0306666666667,19.9806451612903,16.8716129032258,17.4619047619048,NA,NA,NA,NA,404.93375,345.557419354839,394.439666666667,359.484516129032,390.981290322581,345.701428571429,NA,NA,NA,NA,37.045,230.24,396.44,448.005,399.315,271.12,NA,NA,NA,NA
2015,"MNH1",NA,60.35,175.91,167.96,135.3,132.2,37.63,0.47,NA,NA,NA,20.12,25.625,27.2235483870968,25.4567741935484,25.0143333333333,16.5958064516129,15.575,NA,NA,NA,9.01307692307692,14.2653333333333,15.7758064516129,14.2458064516129,13.5073333333333,3.98774193548387,3.357,NA,NA,NA,366.362307692308,371.730666666667,378.659677419355,349.413225806452,308.504666666667,255.541290322581,210.478,NA,NA,NA,75.48,298.585,354.85,307.755,287.315,106.275,29.435,NA,NA
2015,"MOH1",NA,153.05,180.8,219.32,103.32,27.64,0,NA,NA,NA,NA,23.0171428571429,27.731,29.4877419354839,28.6409677419355,28.125,18.8031666666667,NA,NA,NA,NA,13.5478571428571,18.4413333333333,19.9535483870968,17.6845161290323,15.8936666666667,7.6995,NA,NA,NA,NA,329.848214285714,358.421333333333,375.617741935484,383.355806451613,351.584666666667,323.8165,NA,NA,NA,NA,240.745,385.235,437.71,400.74,352.62,24.85,NA,NA,NA
2015,"MOH2",NA,153.05,180.8,219.32,103.32,27.64,0,NA,NA,NA,NA,22.8707407407407,27.731,29.4877419354839,28.6409677419355,28.125,19.175,NA,NA,NA,NA,13.4644444444444,18.4413333333333,19.9535483870968,17.6845161290323,15.8936666666667,6.38,NA,NA,NA,NA,327.157777777778,358.421333333333,375.617741935484,383.355806451613,351.584666666667,364.83,NA,NA,NA,NA,229.36,385.235,437.71,400.74,352.62,9.175,NA,NA,NA
2015,"NCH1",15.4,137.95,157.17,145.58,104.66,69.05,NA,NA,NA,NA,19.5766666666667,26.7951612903226,32.511,32.3483870967742,30.8348387096774,29.436875,NA,NA,NA,NA,7.61666666666667,14.7816129032258,20.8413333333333,21.6977419354839,19.8806451612903,18.844375,NA,NA,NA,NA,358.803333333333,420.117741935484,376.317666666667,379.106129032258,374.372258064516,328.3475,NA,NA,NA,NA,14.365,334.755,454.375,488.73,455.545,220.18,NA,NA,NA,NA
2015,"NEH1",NA,NA,120.53,79.93,189.46,115.28,14.04,45.23,NA,NA,NA,NA,28.2618181818182,29.6606451612903,27.6964516129032,27.0523333333333,20.0448387096774,16.8727777777778,NA,NA,NA,NA,16.69,18.1058064516129,16.2648387096774,15.2126666666667,6.7441935483871,3.71611111111111,NA,NA,NA,NA,375.507727272727,385.38,356.897096774194,324.850666666667,288.189032258065,217.660555555556,NA,NA,NA,NA,266.765,410.29,366.855,328.54,161.33,63.16,NA,NA
2015,"NEH2",16.24,128.33,104.64,39.1,87.04,35.9,40.88,NA,NA,NA,19.64625,18.9558064516129,27.5353333333333,30.3774193548387,28.4203225806452,28.013,21.0069230769231,NA,NA,NA,3.8125,6.86096774193548,14.3063333333333,15.6164516129032,13.9077419354839,12.4136666666667,5.49346153846154,NA,NA,NA,401.71625,369.966129032258,410.604333333333,415.51935483871,390.748709677419,344.644666666667,297.313846153846,NA,NA,NA,38.585,143.915,320.77,376.66,341.215,296.335,141.44,NA,NA,NA
2015,"NEH3",NA,NA,42.06,66.42,47.38,40.79,37.66,51.1,2.87,NA,NA,NA,28.4738095238095,30.9629032258065,29.8667741935484,28.5216666666667,19.7725806451613,9.70766666666667,8.85214285714286,NA,NA,NA,14.3233333333333,15.3041935483871,13.5467741935484,11.337,4.26258064516129,-4.167,-3.98285714285714,NA,NA,NA,432.113333333333,410.61,399.37,354.633,280.610322580645,195.135666666667,203.751428571429,NA,NA,NA,231.03,371.56,343.31,284.725,151.22,50.355,9.935,NA
2015,"NEH4",NA,NA,120.53,79.93,189.46,115.28,14.04,45.23,NA,NA,NA,NA,28.2618181818182,29.6606451612903,27.6964516129032,27.0523333333333,20.0448387096774,16.8727777777778,NA,NA,NA,NA,16.69,18.1058064516129,16.2648387096774,15.2126666666667,6.7441935483871,3.71611111111111,NA,NA,NA,NA,375.507727272727,385.38,356.897096774194,324.850666666667,288.189032258065,217.660555555556,NA,NA,NA,NA,266.765,410.29,366.855,328.54,161.33,63.16,NA,NA
2015,"NYH2",NA,147.59,200.99,85.94,48.56,144.27,73.3,11.03,NA,NA,NA,23.4692,23.1316666666667,25.8725806451613,25.4274193548387,24.6263333333333,14.2225806451613,17.483985479798,NA,NA,NA,10.8,12.446,14.7022580645161,14.4277419354839,13.0323333333333,4.34838709677419,4.91620917508417,NA,NA,NA,373.366,344.353,391.103870967742,367.248064516129,322.474333333333,242.530322580645,226.060896464646,NA,NA,NA,202.805,241.63,318.94,307.32,269.175,70.615,34.3791666666667,NA,NA
2015,"NYH3",NA,33.27,200.37,87.81,48.24,143.93,74,25.02,NA,NA,NA,24.4755555555556,23.196,25.9216129032258,25.4896774193548,24.69,14.2722580645161,14.5072875816993,NA,NA,NA,11.3366666666667,12.5393333333333,14.8045161290323,14.5190322580645,13.093,4.38225806451613,3.71503267973856,NA,NA,NA,377.687777777778,344.387,390.284516129032,367.060322580645,322.184,242.927741935484,193.254836601307,NA,NA,NA,79.63,243.67,321.13,309.615,270.73,71.145,44.615,NA,NA
2015,"OHH1",NA,25.56,308.99,171.88,63.12,52.28,7.88,NA,NA,NA,NA,25.5718181818182,25.9196666666667,27.0909677419355,26.3951612903226,26.3243333333333,19.97,NA,NA,NA,NA,13.12,16.1676666666667,16.6141935483871,14.7735483870968,13.205,6.99235294117647,NA,NA,NA,NA,392.860909090909,324.394666666667,391.414516129032,388.500967741935,356.051,307.03,NA,NA,NA,NA,107.855,329.355,364.785,328.115,293.98,87.11,NA,NA,NA
2015,"SDH1",NA,20.48,102.12,37.74,45.06,26.5,45.71,NA,NA,NA,NA,18.394,25.5826666666667,29.2309677419355,28.9751612903226,26.961,18.2510714285714,NA,NA,NA,NA,7.709,13.4623333333333,14.6583870967742,13.5632258064516,10.3793333333333,4.4675,NA,NA,NA,NA,381.743,399.228,430.339032258064,385.160322580645,350.552,251.342142857143,NA,NA,NA,NA,42.8,282.535,353.9,332.765,261.485,115.92,NA,NA,NA
2015,"TXH1",152.71,322.88,118.22,8.42,NA,NA,NA,NA,NA,132.81,26.6446666666667,28.77,32.8476666666667,34.8235185185185,NA,NA,NA,NA,NA,22.2548,15.6986666666667,18.941935483871,22.155,23.4281150793651,NA,NA,NA,NA,NA,10.6436,371.944,341.640967741935,391.861333333333,418.478637566138,NA,NA,NA,NA,NA,365.8276,334.23,424.42,481.07,459.6375,NA,NA,NA,NA,NA,178.41
2015,"WIH1",NA,NA,124.28,106.88,148.72,161.62,29.61,NA,NA,NA,NA,NA,24.9144444444444,26.4793548387097,25.4670967741935,24.9086666666667,17.4411538461538,NA,NA,NA,NA,NA,13.7455555555556,14.79,14.5229032258065,13.0373333333333,4.94307692307692,NA,NA,NA,NA,NA,356.309259259259,401.915806451613,355.533225806452,334.234666666667,278.018076923077,NA,NA,NA,NA,NA,251.95,329.415,306.305,277.695,97.115,NA,NA,NA
2015,"WIH2",NA,94.46,98.69,101.14,105.33,142.36,0,NA,NA,NA,NA,21.8033333333333,24.846,26.6961290322581,25.6332258064516,25.0736666666667,17.7807142857143,NA,NA,NA,NA,9.33333333333333,12.5563333333333,14.1916129032258,14.1309677419355,12.5633333333333,5.99357142857143,NA,NA,NA,NA,349.893333333333,387.021,399.456129032258,352.186774193548,331.936333333333,282.489285714286,NA,NA,NA,NA,84.18,268.34,324.66,302.25,274.415,54.565,NA,NA,NA
2016,"ARH1",187.17,104.7,49.69,92.91,86.58,NA,NA,NA,NA,NA,23.2458333333333,25.9993548387097,32.2063333333333,33.038064516129,31.8193333333333,NA,NA,NA,NA,NA,12.86875,15.0596774193548,21.7863333333333,23.2645161290323,22.9886666666667,NA,NA,NA,NA,NA,347.366666666667,401.93,388.837,361.093225806452,335.515666666667,NA,NA,NA,NA,NA,198.84,325.15,473.65,515.6,485.61,NA,NA,NA,NA,NA
2016,"ARH2",103.5,227.59,38.8,78.8,178.24,63.06,42.71,1.31,NA,NA,25.525,25.121935483871,31.68,32.7558064516129,31.33,30.728,26.4858064516129,23.9044444444444,NA,NA,13.82375,13.9677419354839,21.1133333333333,22.848064516129,22.2206451612903,17.886,12.6512903225806,10.7788888888889,NA,NA,363.6225,399.057741935484,383.175333333333,361.017096774194,332.451612903226,380.423333333333,305.398387096774,268.563333333333,NA,NA,77.395,297.735,460.04,508.945,486.145,404.12,303.455,70.91,NA,NA
2016,"DEH1",18.33,160.74,85.63,199.65,86.85,14.74,NA,NA,NA,NA,18.155,21.1870967741935,27.7293333333333,31.3329032258065,31.461935483871,29.26,NA,NA,NA,NA,9.60333333333333,11.7054838709677,17.1206666666667,21.6509677419355,20.7961290322581,19.3542857142857,NA,NA,NA,NA,266.228333333333,355.783870967742,388.497,358.951935483871,369.141935483871,329.172857142857,NA,NA,NA,NA,26.7,208.51,367.955,481.535,471.845,193.41,NA,NA,NA,NA
2016,"GAH1",40.61,75.77,164.3,59.39,58.03,NA,NA,NA,NA,NA,26.0373684210526,29.1374193548387,32.7723333333333,34.6135483870968,33.3275296442688,NA,NA,NA,NA,NA,13.3121052631579,15.9183870967742,20.9126666666667,22.3832258064516,22.6034683794466,NA,NA,NA,NA,NA,416.971052631579,422.310967741935,383.628,396.905483870968,349.752134387352,NA,NA,NA,NA,NA,185.605,379.47,460.175,501.94,366.1325,NA,NA,NA,NA,NA
2016,"GAH2",NA,0,113.34,47.86,150.33,16.22,0,NA,NA,NA,NA,31.0614285714286,33.508,34.9793548387097,33.3364516129032,32.3176666666667,28.6516964285714,NA,NA,NA,NA,16.3828571428571,19.8573333333333,21.9035483870968,21.9267741935484,18.209,12.6316547619048,NA,NA,NA,NA,467.21,406.353666666667,390.646774193548,348.463225806452,387.627,379.184773809524,NA,NA,NA,NA,90.905,444.97,494.505,494.865,418.59,79.9025,NA,NA,NA
2016,"IAH1",44.33,106.38,102.73,158.27,243.45,52.9,0,NA,NA,NA,17.5333333333333,22.4674193548387,30.142,28.4077419354839,28.6048387096774,26.837,18.68,NA,NA,NA,8.06666666666667,9.83483870967742,16.4036666666667,17.9138709677419,18.1877419354839,14.6436666666667,11.36,NA,NA,NA,298.912222222222,408.175483870968,404.957333333333,345.339032258064,340.004516129032,351.282666666667,225.8,NA,NA,NA,35.565,223.35,378.87,400.79,409.975,319.99,5.02,NA,NA,NA
2016,"IAH2",73.39,118.65,70.8,149.51,116.47,146.94,49.2,NA,NA,NA,12.9666666666667,21.6777419354839,29.9783333333333,28.0690322580645,27.3016129032258,25.1353333333333,20.6736363636364,NA,NA,NA,6.565,8.79870967741935,16.64,17.0809677419355,16.4593548387097,13.0403333333333,7.46272727272727,NA,NA,NA,193.488333333333,397.467741935484,407.224666666667,352.850967741936,368.330967741935,328.670333333333,307.493636363636,NA,NA,NA,11.31,204.2,380.805,382.965,365.345,277.73,60.49,NA,NA,NA
2016,"IAH3",34.03,79.38,142.23,104.5,182.96,186.31,4.96,NA,NA,NA,15.5814285714286,21.9196774193548,29.0573333333333,27.7906451612903,27.7358064516129,25.4403333333333,22.0716666666667,NA,NA,NA,7.60571428571429,8.50645161290323,15.599,17.2187096774194,16.6848387096774,13.5246666666667,11.3566666666667,NA,NA,NA,249.657142857143,414.914838709677,387.205666666667,352.435806451613,356.850967741936,322.474666666667,264.096666666667,NA,NA,NA,21.055,208.935,359.575,382.485,374.995,286.79,41.38,NA,NA,NA
2016,"IAH4",57.27,101.27,34.96,175.12,203.75,230.36,14.03,NA,NA,NA,12.604,21.9061290322581,29.7536666666667,28.2374193548387,27.791935483871,25.6993333333333,20.8558823529412,NA,NA,NA,6.44,8.98741935483871,16.4323333333333,17.4345161290323,17.1583870967742,13.805,7.99411764705882,NA,NA,NA,180.82,396.261935483871,403.004333333333,350.074193548387,351.780322580645,323.325,290.957058823529,NA,NA,NA,7.315,210.05,377.305,389.76,382.21,293.895,101.32,NA,NA,NA
2016,"ILH1",44.65,90.29,156.18,114.57,107.51,147.8,0.58,NA,NA,NA,18.67,23.0485918114144,29.4876666666667,28.5903225806452,29.0009677419355,27.4886666666667,24.2233333333333,NA,NA,NA,9.762,10.6998697270471,17.0846666666667,18.6693548387097,18.8851612903226,15.4566666666667,11.6666666666667,NA,NA,NA,281.328,390.177444168734,384.648666666667,350.922580645161,361.967096774194,333.683666666667,319.57,NA,NA,NA,22.72,215.545,383.69,416.315,425.99,334.4,76.41,NA,NA,NA
2016,"INH1",NA,11.35,142.03,107.43,138.14,85.17,3.28,NA,NA,NA,NA,27.3315384615385,28.5173333333333,28.0906451612903,28.9577419354839,26.8163333333333,22.7905,NA,NA,NA,NA,13.3192307692308,16.0743333333333,17.6645161290323,18.5006451612903,14.7813333333333,12.67,NA,NA,NA,NA,457.747692307692,380.427666666667,365.311612903226,348.716129032258,333.235,273.221,NA,NA,NA,NA,137.92,358.83,395.445,419.115,318.815,42.7375,NA,NA,NA
2016,"KSH1",180.86,150.86,24.8,166.92,196.29,143.95,NA,NA,NA,NA,21.61,23.8416129032258,33.133,32.3570967741936,30.5045161290323,29.0885185185185,NA,NA,NA,NA,10.75625,11.0264516129032,19.5446666666667,21.1925806451613,19.5664516129032,16.7388888888889,NA,NA,NA,NA,309.16375,391.992580645161,409.561333333333,348.320322580645,349.912580645161,341.602962962963,NA,NA,NA,NA,106.185,249.04,439.355,474.14,440.305,336.415,NA,NA,NA,NA
2016,"MIH1",NA,1.86,34.5,95.76,197.34,131.1,92.38,9.07,NA,NA,NA,28.95125,26.943,28.7983870967742,28.7148387096774,24.4666666666667,17.6674193548387,15.799375,NA,NA,NA,14.2625,13.0813333333333,16.4032258064516,16.7535483870968,12.7666666666667,6.45096774193548,2.94375,NA,NA,NA,454.39375,410.36,363.702903225806,356.234516129032,309.082,248.094516129032,226.2825,NA,NA,NA,94.505,300.565,382.59,386.725,258.715,133.585,47.13,NA,NA
2016,"MNH1",NA,51.66,117.94,218.13,266.65,329.94,41.63,NA,NA,NA,NA,24.5986666666667,27.245,27.6225806451613,27.0025806451613,23.7913333333333,18.903104288499,NA,NA,NA,NA,12.1353333333333,15.1713333333333,17.1612903225806,16.3009677419355,13.018,5.91730214424951,NA,NA,NA,NA,388.417333333333,382.488333333333,335.493870967742,347.731935483871,292.212,279.892056530214,NA,NA,NA,NA,133.05,329.155,378.79,359.685,259.06,86.905,NA,NA,NA
2016,"MOH1",NA,41.46,28.93,277.13,110.62,168.5,13.6866666666667,NA,NA,NA,NA,27.84,31.2153333333333,30.4064516129032,29.3983870967742,27.711,22.9580476190476,NA,NA,NA,NA,16.2444444444444,19.1973333333333,20.4258064516129,19.8116129032258,16.3346666666667,14.0580476190476,NA,NA,NA,NA,382.765555555556,412.736333333333,353.048064516129,348.835806451613,351.158,241.657595238095,NA,NA,NA,NA,108.085,424.585,454.33,439.68,352.845,45.4566666666667,NA,NA,NA
2016,"NCH1",38.17,150.31,118.7,168.22,150.35,153.28,NA,NA,NA,NA,25.335,25.9045161290323,31.0033333333333,33.5296774193548,32.66,30.3269230769231,NA,NA,NA,NA,10.7525,14.8758064516129,19.501,22.6067741935484,22.101935483871,19.8184615384615,NA,NA,NA,NA,411.60625,362.476774193548,390.12,355.026451612903,353.939677419355,337.607692307692,NA,NA,NA,NA,141.6,321.93,436.335,505.405,497.475,186.125,NA,NA,NA,NA
2016,"NYH2",NA,30.87,28.67,55.32,115.82,75.59,194.64,50.2566666666667,19.3,NA,NA,22.4327272727273,25.234,28.6170967741935,28.518064516129,24.4643333333333,15.6658064516129,12.2557037037037,4.445,NA,NA,7.82545454545455,11.7066666666667,15.5648387096774,16.9770967741935,11.217,6.34903225806452,1.07088888888889,-0.14375,NA,NA,449.268181818182,414.069666666667,389.668387096774,350.001612903226,328.950666666667,204.613548387097,209.371407407407,98.28875,NA,NA,152.405,262.98,367.42,389.18,250.225,105.045,30.7333333333333,0,NA
2016,"OHH1",NA,8.88,73.89,124.41,165.52,145.5,8.99,NA,NA,NA,NA,29.534,28.238,29.0329032258065,29.3487096774194,26.6736666666667,22.0833333333333,NA,NA,NA,NA,16.932,15.9466666666667,18.1251612903226,18.7061290322581,14.1056666666667,8.49066666666667,NA,NA,NA,NA,421.962,403.724333333333,356.548064516129,348.065806451613,344.697333333333,324.353333333333,NA,NA,NA,NA,65.84,357.61,413.47,426.135,309.21,94.925,NA,NA,NA
2016,"TXH1",177.2,385.12,61.15,14.17,0,NA,NA,NA,NA,127.45,26.7066666666667,28.4990322580645,33.5036666666667,36.2470967741936,37.134,NA,NA,NA,NA,24.4107142857143,13.429,17.671935483871,22.314,24.1429032258065,23.726,NA,NA,NA,NA,10.6475,381.492333333333,369.714193548387,406.613,398.753870967742,424.278,NA,NA,NA,NA,378.426785714286,310.47,397.195,482.35,529.215,84.315,NA,NA,NA,NA,233.645
2016,"WIH1",NA,90.02,128.05,214.8,152.28,147.73,29.62,NA,NA,NA,NA,21.8560869565217,26.497,27.5448387096774,27.2141935483871,23.6063333333333,18.9142857142857,NA,NA,NA,NA,9.03304347826087,14.1793333333333,16.571935483871,16.7490322580645,13.163,7.58714285714286,NA,NA,NA,NA,378.302173913043,382.266666666667,365.779032258064,343.531935483871,292.686,275.479285714286,NA,NA,NA,NA,159.705,308.29,369.61,370.795,253.385,67.625,NA,NA,NA
2016,"WIH2",NA,54.36,115.6,145.68,163.77,194.5,73.75,NA,NA,NA,NA,27.56125,26.7476666666667,27.8409677419355,27.3470967741935,23.654,18.2036,NA,NA,NA,NA,15.02125,13.7893333333333,16.3096774193548,15.93,12.3403333333333,6.6288,NA,NA,NA,NA,336.96875,381.748,359.343548387097,342.526129032258,288.524666666667,255.88,NA,NA,NA,NA,90.33,305.725,368.81,359.21,243.285,113.635,NA,NA,NA
2017,"ARH1",139.11,189.56,195.67,116.39,279.67,8.58,NA,NA,NA,NA,24.9242857142857,26.7716129032258,30.0073333333333,32.5454838709677,30.1416129032258,27.26,NA,NA,NA,NA,13.9935714285714,15.3687096774194,20.1303333333333,22.3538709677419,21.1654838709677,15.63,NA,NA,NA,NA,362.202142857143,395.20064516129,371.464333333333,386.132903225806,341.698709677419,425.717272727273,NA,NA,NA,NA,133.27,342.895,441.19,500.495,469.23,125.425,NA,NA,NA,NA
2017,"ARH2",110.43,135.92,93.42,118.99,180.28,26.92,NA,NA,NA,NA,25.6683333333333,26.4577419354839,30.5163333333333,32.4622580645161,29.7696774193548,26.750625,NA,NA,NA,NA,12.8033333333333,14.7061290322581,19.7833333333333,22.3712903225806,20.0283870967742,15.268125,NA,NA,NA,NA,395.368333333333,400.093548387097,379.930333333333,375.244838709677,358.96,394.43,NA,NA,NA,NA,55.415,329.025,438.075,499.395,450.98,174.39,NA,NA,NA,NA
2017,"COH1",NA,0,1.92,25.36,71.64,53.82,33.18,12.41,NA,NA,NA,26.73,28.1026666666667,31.9825806451613,28.0403225806452,24.479,17.3948387096774,12.9863138528139,NA,NA,NA,7.08,11.0693333333333,14.6225806451613,12.3612903225806,9.04033333333333,0.482258064516129,-2.33113059163059,NA,NA,NA,539.19,474.735333333333,439.464193548387,414.090322580645,350.530666666667,323.276129032258,233.427687590188,NA,NA,NA,8.365,280.055,375.55,306.6,224.645,122.565,44.845,NA,NA
2017,"DEH1",0,154.76,62.33,183.81,179.56,36.76,NA,NA,NA,NA,29.03,22.3241935483871,28.6643333333333,30.7922580645161,28.4648387096774,25.3082142857143,NA,NA,NA,NA,18.0533333333333,12.3967741935484,17.7043333333333,21.3254838709677,19.0341935483871,16.2010714285714,NA,NA,NA,NA,401.04,364.036774193548,405.837333333333,353.342903225806,360.343870967742,333.951160714286,NA,NA,NA,NA,39.89,234.37,387.325,474.115,421.32,80.5825,NA,NA,NA,NA
2017,"GAH1",63.91,132.33,181.67,158.93,89.02,4.77,NA,NA,NA,NA,27.6407407407407,29.2812903225806,30.1686666666667,32.8487096774194,32.7235483870968,31.1411904761905,NA,NA,NA,NA,13.2140740740741,16.2141935483871,20.6753333333333,22.368064516129,22.0035483870968,20.2420238095238,NA,NA,NA,NA,420.236666666667,399.624838709677,341.254666666667,369.139032258065,384.251290322581,386.672857142857,NA,NA,NA,NA,286.535,381,448.48,501.085,496.015,97.6675,NA,NA,NA,NA
2017,"GAH2",NA,131.54,298.83,80.52,183.1,13.12,NA,NA,NA,NA,NA,27.8703333333333,29.8396666666667,32.8383870967742,30.8141935483871,28.6925,NA,NA,NA,NA,NA,14.9543333333333,18.9323333333333,21.1741935483871,20.5667741935484,14.86,NA,NA,NA,NA,NA,393.923333333333,369.015666666667,398.622580645161,354.183225806452,452.11,NA,NA,NA,NA,NA,336.235,421.76,483.2,462.015,93.05,NA,NA,NA,NA
2017,"IAH1",62.69,83.55,65.41,119.81,51.37,91.4,118.59,NA,NA,NA,12.66,21.7961290322581,29.269,30.7638709677419,26.9651612903226,27.2366666666667,20.51,NA,NA,NA,5.19166666666667,9.31129032258064,15.2123333333333,17.5412903225806,14.1293548387097,11.9743333333333,9.09538461538462,NA,NA,NA,243.353333333333,410.857096774194,393.915,378.891935483871,380.356774193548,362.338,235.680769230769,NA,NA,NA,9.565,200.565,355.395,416.68,326.18,290.135,152.8,NA,NA,NA
